file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,167,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,168,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,169,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,9
style.css,170,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,35
style.css,171,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,12
style.css,172,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,18
style.css,173,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,9
style.css,174,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,0
style.css,175,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,10
style.css,176,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,2,17
style.css,177,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,0
style.css,178,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,179,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,180,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
index.js,1,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,71
index.js,2,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,0
index.js,3,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,54
index.js,4,js,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,29
index.js,5,js,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,2,75
index.js,6,js,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,2,40
index.js,7,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,0
index.js,8,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,60
index.js,9,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,0
index.js,10,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,54
index.js,11,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,0
index.js,12,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,51
index.js,13,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,0
index.js,14,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,60
index.js,15,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,0
index.js,16,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,0,17
index.js,17,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,2,24
index.js,18,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,5,2
index.js,19,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,6,55
index.js,20,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,6,55
index.js,21,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,6,49
index.js,22,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,6,49
index.js,23,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,5,3
index.js,24,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,3,0
index.js,25,js,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,1,0
index.html,1,html,40144812,Varick Janiro Hasim,2025-04-03,13:21:51,-07:00,2025-04-03T13:21:51-07:00,0,13
index.html,2,html,40144812,Varick Janiro Hasim,2025-04-03,13:21:51,-07:00,2025-04-03T13:21:51-07:00,0,14
index.html,3,html,40144812,Varick Janiro Hasim,2025-04-03,13:21:51,-07:00,2025-04-03T13:21:51-07:00,0,4
index.html,4,html,40144812,Varick Janiro Hasim,2025-04-03,13:21:51,-07:00,2025-04-03T13:21:51-07:00,2,20
index.html,5,html,79f8001d,Varick Janiro Hasim,2025-04-04,23:23:14,-07:00,2025-04-04T23:23:14-07:00,2,38
index.html,6,html,40144812,Varick Janiro Hasim,2025-04-03,13:21:51,-07:00,2025-04-03T13:21:51-07:00,2,68
index.html,7,html,40144812,Varick Janiro Hasim,2025-04-03,13:21:51,-07:00,2025-04-03T13:21:51-07:00,2,61
index.html,8,html,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,2,45
index.html,9,html,589fdff0,Varick Janiro Hasim,2025-04-25,14:41:02,-07:00,2025-04-25T14:41:02-07:00,2,50
index.html,10,html,40144812,Varick Janiro Hasim,2025-04-03,13:21:51,-07:00,2025-04-03T13:21:51-07:00,0,5
